Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,EQ,30-Aug-21,2718.2,2730.45,2764.9,2723.1,1731926
HDFC,W3,30-Aug-21,785.4,798.9,815,798.9,38400
HDFC,EQ,31-Aug-21,2755.7,2748,2812,2739.35,4933523
HDFC,W3,31-Aug-21,811.8,817,840,817,42000
HDFC,EQ,01-Sep-21,2798.5,2790,2796.95,2736.6,3084291
HDFC,W3,01-Sep-21,837.65,820.5,827.8,810,16200
HDFC,EQ,02-Sep-21,2747.75,2756.9,2785,2737.25,1734037
HDFC,W3,02-Sep-21,815,824.65,838,815,32400
HDFC,EQ,03-Sep-21,2777.7,2768.1,2784.15,2742.1,1914438
HDFC,W3,03-Sep-21,826,838,838,816,9600
HDFC,EQ,06-Sep-21,2758.6,2765,2777.7,2741.2,1729080
HDFC,W3,06-Sep-21,830.95,818,830.1,818,18600
HDFC,EQ,07-Sep-21,2765.3,2769.8,2853.65,2749.95,4072518
HDFC,W3,07-Sep-21,827,830.9,896.5,820,52800
HDFC,EQ,08-Sep-21,2837,2838.25,2852,2802.25,2274494
HDFC,W3,08-Sep-21,879.3,875.15,887,861,11400
HDFC,EQ,09-Sep-21,2829.3,2815.2,2853.85,2813.8,1986913
HDFC,W3,09-Sep-21,880.95,875,889,864.1,7200
HDFC,EQ,13-Sep-21,2830.1,2844,2875.85,2833.3,3283960
HDFC,W3,13-Sep-21,869.25,885,904,875,42600
HDFC,EQ,14-Sep-21,2849.8,2864.95,2869,2810,2238463
HDFC,W3,14-Sep-21,878.25,871.1,871.1,856,7800
HDFC,EQ,15-Sep-21,2818.05,2805.7,2843,2795,1924840
HDFC,W3,15-Sep-21,856,856.05,870,851,18600
HDFC,EQ,16-Sep-21,2815.45,2800,2823.9,2798.5,1831201
HDFC,W3,16-Sep-21,856,851,859,843,7200
HDFC,EQ,17-Sep-21,2812.35,2832.25,2851.95,2801.7,4447386
HDFC,W3,17-Sep-21,852.5,869.95,889.8,855,15600
HDFC,EQ,20-Sep-21,2825.65,2795.3,2808.65,2733,2057743
HDFC,W3,20-Sep-21,870.05,841,841,801.5,30000
HDFC,EQ,21-Sep-21,2742.5,2760,2780.7,2724.75,2119275
HDFC,W3,21-Sep-21,807.4,818,835,800,13800
HDFC,EQ,22-Sep-21,2774.35,2765,2773.95,2717.7,3054547
