Date,Open,High,Low,Close,Volume
09-Mar-21,2513.1,2584.4,2513.1,2510.25,2877662
09-Mar-21,815.05,850,815.05,801.65,27000
10-Mar-21,2590.4,2609.4,2580.6,2577.3,2569360
10-Mar-21,861.85,865,835,847.7,13800
12-Mar-21,2662,2667.95,2556.35,2599.8,3487185
12-Mar-21,874,874,813.5,840,20400
15-Mar-21,2565,2568,2496.05,2568,2905477
15-Mar-21,801.1,830,785,824.65,76800
16-Mar-21,2556.5,2562.65,2503,2535.5,2446483
16-Mar-21,819,820,810,828,15600
17-Mar-21,2509.1,2542,2502.75,2510.4,3362442
17-Mar-21,817.9,819.45,792.25,812.5,34800
18-Mar-21,2549,2561.45,2501,2515.55,3460891
18-Mar-21,795,814,770,798.3,57600
19-Mar-21,2486,2567,2481.7,2514.6,5277763
19-Mar-21,765,797.95,760,781.45,49200
22-Mar-21,2530.1,2547.35,2485,2531.65,3367784
22-Mar-21,780,780,766,782.45,19800
23-Mar-21,2531,2541.35,2492.1,2531.85,3980896
23-Mar-21,783.25,788,750,775,123600
24-Mar-21,2484.85,2503.5,2446.7,2509.9,3165420
24-Mar-21,760,771.7,737,765.3,42600
25-Mar-21,2488,2491.6,2431.1,2465.75,4759214
25-Mar-21,735.1,790,729.75,745.6,40800
26-Mar-21,2506.75,2548,2491.2,2470.75,3272534
26-Mar-21,794,795,769,784,62400
30-Mar-21,2569.3,2617,2555.25,2532.75,4349089
30-Mar-21,807.3,807.3,780,781.55,122400
31-Mar-21,2599.6,2599.6,2490,2605.65,5492619
31-Mar-21,774.9,774.9,730,789.4,156000
01-Apr-21,2524,2536.95,2480,2498.1,2621437
01-Apr-21,759.9,770,738.5,744,30600
05-Apr-21,2530,2531,2413,2531.45,3353567
05-Apr-21,746,754.9,722.1,770,33600
06-Apr-21,2470.3,2486.85,2435.35,2445.85,2882606
06-Apr-21,736,769,736,740.2,48000
07-Apr-21,2489,2507.8,2457,2472.3,3511527
07-Apr-21,755.05,788.9,755.05,754.05,26400
08-Apr-21,2495,2530.9,2485.75,2482.7,2510746
08-Apr-21,775,791.95,761,771.2,10800
09-Apr-21,2522,2556,2492.3,2502.55,3234017
09-Apr-21,760,784.9,753,761.25,14400
12-Apr-21,2450,2454.45,2405,2513.9,3772771
12-Apr-21,721.05,735,693,760.55,53400
13-Apr-21,2422.4,2523.1,2412.25,2419.85,3832030
13-Apr-21,725,765,725,701.55,24600
15-Apr-21,2540,2555,2493,2512.95,4201633
15-Apr-21,774,788.5,740.25,764.05,18600
16-Apr-21,2550,2589.8,2546.85,2547.15,3133311
16-Apr-21,790,805,785,783.45,8400
19-Apr-21,2474,2510,2452,2574.05,3550890
19-Apr-21,740,754.5,725,785,18000
20-Apr-21,2542.15,2544,2406.2,2492.35,7365765
20-Apr-21,750,752.9,730,754.5,15600
22-Apr-21,2400,2485,2373,2415.9,4514740
22-Apr-21,742,769,732.1,733.35,6000
23-Apr-21,2455.05,2504.15,2437.5,2479.7,3143779
23-Apr-21,762.9,769.8,743.4,769,25800
26-Apr-21,2500,2534.1,2483.2,2497.35,3916088
26-Apr-21,780,780,762.55,765,20400
27-Apr-21,2494.15,2526.8,2486.25,2509.8,2040799
27-Apr-21,766,773,760,767.95,25800
28-Apr-21,2516.1,2609,2508.3,2518.4,3407461
28-Apr-21,778,798,770.05,763.75,56400
29-Apr-21,2590.9,2628,2533,2577,3005468
29-Apr-21,819.95,819.95,767,778.5,24000
30-Apr-21,2503.1,2525,2411.1,2538.85,6024595
30-Apr-21,740,750,726,769.1,59400
03-May-21,2365,2432.95,2365,2420.1,2984938
03-May-21,715,745,706.1,736.1,28200
04-May-21,2420,2435,2373.6,2418.5,3135834
04-May-21,726.25,732.5,710,744.25,17400
05-May-21,2392,2403,2354,2377.2,3458463
05-May-21,725,727,715.15,721.5,25800
06-May-21,2397.3,2435,2382,2377.6,2401866
06-May-21,730,734.9,725,724.2,12600
07-May-21,2454.7,2507.3,2438.4,2430.1,4829852
07-May-21,740,760,732.05,734,28800
10-May-21,2515.1,2563.7,2515.1,2496.75,4289915
10-May-21,789.8,790.05,766.1,757.1,100800
11-May-21,2489.35,2502,2447.6,2531.35,3728419
11-May-21,745,770,745,786.3,49200
12-May-21,2448,2448,2407.5,2464.2,3168128
12-May-21,746.1,769.95,740.6,765.75,34200
14-May-21,2438.7,2443.95,2402.1,2438.7,2254726
14-May-21,757.5,766,742,767.8,49800
17-May-21,2454,2495,2435.5,2422,4452603
17-May-21,756.1,761,745,745,60600
18-May-21,2508,2527,2486.95,2486.45,2844233
18-May-21,778,778,760,745.9,40200
19-May-21,2498,2517,2453.75,2502.85,2031903
19-May-21,765.25,773,746,765,16200
20-May-21,2467,2488,2440.1,2459.85,2551577
20-May-21,746.05,754.75,743,746,14400
21-May-21,2472,2525.95,2457.15,2445,2711607
21-May-21,757,767.05,752,747,28800
24-May-21,2515,2558.8,2515,2518.05,2655396
24-May-21,774,788,766.55,765.3,24000
25-May-21,2562,2570.4,2523.5,2540.9,2641950
25-May-21,785.1,785.1,775,783.3,15000
26-May-21,2547,2575,2530.5,2530.5,1839397
26-May-21,777.85,789.95,777.85,775,11400
27-May-21,2580.35,2580.35,2488.05,2567.55,14119786
27-May-21,789.5,789.5,751.55,784.65,24600
28-May-21,2514.65,2549.85,2511,2508.85,2548032
28-May-21,780,784.75,770.15,768.4,6600
31-May-21,2527.55,2564.8,2502,2541.35,3221015
31-May-21,780,809.95,765.1,776,24600
01-Jun-21,2567,2610,2560.5,2552.85,3900226
01-Jun-21,822,827.9,800.1,802,25200
02-Jun-21,2570.75,2581.85,2531.1,2580.75,3551619
02-Jun-21,798.9,799.9,785.05,810.65,8400
03-Jun-21,2568,2603,2556.45,2562.15,3636647
03-Jun-21,818,826.45,800.05,798.7,15600
04-Jun-21,2588,2626,2584.05,2584,3593742
04-Jun-21,818,830,815,807.7,57000
07-Jun-21,2635,2635.4,2582,2619.05,2222082
07-Jun-21,801,805,800.1,819.35,5400
08-Jun-21,2586,2589.9,2550,2585.75,3046814
08-Jun-21,790.1,790.1,782.05,800.1,10200
09-Jun-21,2558,2579.25,2539.75,2554.5,2784864
09-Jun-21,794.95,797,780.05,782.05,9000
10-Jun-21,2554.75,2567.85,2535,2544.75,2116122
10-Jun-21,775,778,762,780.1,29400
11-Jun-21,2575,2594.3,2555,2561.9,2340867
11-Jun-21,787,792,777.05,770.55,8400
14-Jun-21,2559.8,2559.8,2512.65,2559.8,2125197
14-Jun-21,765,769.95,751.15,777.05,34800
15-Jun-21,2559.8,2559.8,2535.2,2539.2,1589974
15-Jun-21,776.75,776.75,762,765,7200
16-Jun-21,2535,2545,2515.7,2545.1,2290999
16-Jun-21,763,767.95,741,765,30000
17-Jun-21,2482.2,2506.95,2482.2,2521.45,2657850
17-Jun-21,735.9,742.9,710,743.9,45600
18-Jun-21,2511,2511,2453.05,2487.3,3082747
18-Jun-21,717.25,734.95,701,716.55,35400
21-Jun-21,2459,2524.2,2451,2488.1,1891651
21-Jun-21,720,746,720,729.35,12000
22-Jun-21,2546.8,2546.8,2514.7,2516.4,2604542
22-Jun-21,749,755.9,719.9,742.65,67800
23-Jun-21,2537,2537,2493,2522.9,2179551
23-Jun-21,749.8,749.8,700,723.1,105000
24-Jun-21,2514.9,2515,2485,2497.2,3257706
24-Jun-21,719,719,703.1,711.55,24000
25-Jun-21,2511,2515,2482,2487.4,1871813
25-Jun-21,722,737.8,706.05,708.95,16800
28-Jun-21,2515,2523.1,2491.2,2509.2,2140346
28-Jun-21,729.9,745,718,735.05,15600
29-Jun-21,2510,2510,2476.9,2494.95,2671608
29-Jun-21,737,737,710,721.2,48000
30-Jun-21,2503.15,2515,2472.2,2501.2,2798047
30-Jun-21,735,735,710.1,728,7800
01-Jul-21,2480,2491.35,2456,2475.25,2189447
